,Amount
13248,4.29
13249,9.76
13250,47.5
13251,10.5
13252,0.89
13253,64.95
13254,35.29
13255,33.47
13256,1528.9
13257,94.48
13258,25.0
13259,8.79
13260,51.9
13261,12.99
13262,3.59
13263,1.0
13264,0.99
13265,18.49
13266,1.0
13267,44.99
13268,9.82
13269,30.99
13270,0.0
13271,5.0
13272,25.0
13273,48.0
13274,81.0
13275,177.0
13276,65.55
13277,15.0
13278,8.0
13279,0.89
13280,240.0
13281,9.82
13282,50.11
13283,13.99
13284,2.77
13285,9.95
13286,129.44
13287,0.99
13288,50.0
13289,129.5
13290,62.5
13291,229.9
13292,0.89
13293,37.93
13294,4.0
13295,50.61
13296,533.82
13297,139.6
13298,100.0
13299,46.69
13300,150.85
13301,19.95
13302,25.0
13303,36.98
13304,1.78
13305,12.99
13306,30.0
13307,30.5
13308,53.32
13309,18.39
13310,11.5
13311,1.98
13312,551.8
13313,0.89
13314,12.96
13315,64.99
13316,31.86
13317,15.0
13318,8.99
13319,4.74
13320,31.17
13321,25.49
13322,3.71
13323,1.0
13324,9.99
13325,84.11
13326,0.89
13327,225.4
13328,1.9
13329,110.0
13330,100.0
13331,1.0
13332,82.88
13333,75.0
13334,3.74
13335,290.0
13336,0.89
13337,0.89
13338,59.9
13339,10.0
13340,1.0
13341,49.99
13342,301.64
13343,245.6
13344,242.42
13345,167.6
13346,65.85
13347,56.14
13348,2.47
13349,23.0
13350,10.78
13351,17.99
13352,35.23
13353,1.29
13354,9.56
13355,30.0
13356,9.99
13357,0.77
13358,232.3
13359,11.34
13360,43.23
13361,34.32
13362,67.9
13363,17.99
13364,25.1
13365,8.65
13366,11.51
13367,18.61
13368,12.8
13369,91.0
13370,8.99
13371,1.0
13372,63.4
13373,12.15
13374,1000.0
13375,1.98
13376,10.0
13377,26.5
13378,5.9
13379,19.6
13380,216.0
13381,60.0
13382,279.46
13383,63.0
13384,364.45
13385,7.3
13386,1.0
13387,127.88
13388,1.84
13389,7.78
13390,3.99
13391,1.0
13392,503.49
13393,126.35
13394,1.0
13395,70.0
13396,2.15
13397,1.99
13398,420.09
13399,1.0
13400,92.62
13401,8.99
13402,50.95
13403,0.89
13404,160.06
13405,117.84
13406,1.42
13407,53.89
13408,1.79
13409,11.66
13410,78.0
13411,0.69
13412,0.01
13413,26.0
13414,143.93
13415,0.76
13416,22.9
13417,34.95
13418,20.95
13419,6.16
13420,7.07
13421,53.3
13422,2.12
13423,500.0
13424,8.53
13425,64.17
13426,49.9
13427,14.9
13428,13.52
13429,0.0
13430,1.0
13431,165.0
13432,66.65
13433,74.25
13434,11.85
13435,90.31
13436,164.0
13437,8.0
13438,25.8
13439,69.85
13440,377.6
13441,15.0
13442,36.0
13443,10.0
13444,32.0
13445,17.27
13446,12.86
13447,75.0
13448,18.3
13449,0.89
13450,21.75
13451,19.99
13452,20.0
13453,0.76
13454,7.74
13455,34.67
13456,19.02
13457,25.0
13458,21.64
13459,19.95
13460,19.5
13461,1.0
13462,101.64
13463,25.0
13464,59.95
13465,37.55
13466,120.4
13467,16.0
13468,191.94
13469,0.79
13470,28.07
13471,1.0
13472,12.58
13473,0.89
13474,1089.47
13475,3.6
13476,170.28
13477,1.0
13478,632.5
13479,39.96
13480,147.0
13481,31.95
13482,1.0
13483,0.99
13484,64.99
13485,45.0
13486,52.3
13487,45.0
13488,179.0
13489,18.88
13490,3.66
13491,723.21
13492,12.0
13493,335.06
13494,1.98
13495,72.0
13496,60.0
13497,113.18
13498,4.24
13499,25.67
13500,73.53
13501,142.76
13502,56.98
13503,15.27
13504,15.09
13505,22.98
13506,3.59
13507,7.99
13508,36.0
13509,4.9
13510,40.0
13511,1.79
13512,1.5
13513,9.99
13514,210.04
13515,11.5
13516,63.94
13517,75.93
13518,68.36
13519,79.45
13520,450.05
13521,189.0
13522,69.0
13523,9.99
13524,202.34
13525,2.51
13526,40.46
13527,218.0
13528,39.95
13529,53.73
13530,13.01
13531,15.0
13532,99.95
13533,6.01
13534,1102.8
13535,8.68
13536,98.18
13537,118.65
13538,21.13
13539,37.83
13540,9.46
13541,690.23
13542,15.0
13543,1.98
13544,9.99
13545,5.0
13546,25.0
13547,140.56
13548,23.78
13549,382.56
13550,20.0
13551,45.0
13552,92.0
13553,4.11
13554,7.5
13555,1.0
13556,1.63
13557,1.99
13558,17.99
13559,32.67
13560,180.0
13561,3.82
13562,103.8
13563,148.09
13564,523.74
13565,1.0
13566,17.09
13567,6.51
13568,2.49
13569,250.0
13570,385.0
13571,7.6
13572,2.18
13573,3.18
13574,211.17
13575,60.0
13576,22.92
13577,45.0
13578,2.0
13579,25.39
13580,2533.66
13581,588.14
13582,2.28
13583,36.0
13584,1.0
13585,1.79
13586,500.0
13587,57.12
13588,16.0
13589,19.91
13590,52.0
13591,383.09
13592,13.21
13593,4.83
13594,39.99
13595,6.18
13596,25.0
13597,33.2
13598,111.5
13599,2.28
13600,13.99
13601,12.99
13602,13.31
13603,1.0
13604,39.8
13605,1.46
13606,10.23
13607,3.08
13608,110.0
13609,9.0
13610,20.0
13611,28.97
13612,13.85
13613,1.29
13614,2.69
13615,4.19
13616,3.08
13617,2.85
13618,89.25
13619,38.52
13620,51.5
13621,30.0
13622,7.99
13623,21.55
13624,80.77
13625,599.0
13626,50.0
13627,70.0
13628,149.0
13629,74.34
13630,6.99
13631,71.22
13632,11.85
13633,15.16
13634,0.89
13635,462.7
13636,69.32
13637,21.98
13638,4.73
13639,15.0
13640,35.8
13641,15.0
13642,141.9
13643,100.0
13644,117.93
13645,6.15
13646,57.32
13647,129.0
13648,13.7
13649,186.13
13650,8.9
13651,35.97
13652,56.0
13653,9.42
13654,33.0
13655,18.96
13656,3.84
13657,10.0
13658,15.95
13659,46.2
13660,38.0
13661,59.94
13662,0.76
13663,6.98
13664,214.9
13665,25.0
13666,35.45
13667,17.98
13668,49.08
13669,7.87
13670,12.41
13671,127.2
13672,38.2
13673,10.0
13674,25.99
13675,0.76
13676,1.98
13677,4.37
13678,6.99
13679,14.31
13680,555.0
13681,4.95
13682,29.75
13683,134.98
13684,400.0
13685,20.0
13686,1.79
13687,9.7
13688,1.0
13689,15.15
13690,1.0
13691,364.07
13692,45.98
13693,80.5
13694,7.06
13695,0.0
13696,13.2
13697,30.0
13698,199.1
13699,16.0
13700,5.49
13701,23.9
13702,8.7
13703,1.0
13704,1.98
13705,240.0
13706,0.78
13707,0.77
13708,5.0
13709,17.47
13710,1001.0
13711,164.62
13712,406.5
13713,304.9
13714,29.99
13715,0.89
13716,133.99
13717,38.39
13718,8.0
13719,20.22
13720,26.01
13721,18.14
13722,1.29
13723,170.13
13724,3.59
13725,34.97
13726,40.78
13727,9.99
13728,159.99
13729,21.9
13730,12.99
13731,7.99
13732,0.76
13733,610.23
13734,20.39
13735,1.0
13736,122.36
13737,1.0
13738,100.94
13739,6.2
13740,4738.79
13741,29.67
13742,1.0
13743,25.83
13744,0.89
13745,47.38
13746,40.99
13747,55.0
13748,106.65
13749,99.99
13750,94.0
13751,17.99
13752,96.89
13753,0.76
13754,437.6
13755,0.77
13756,144.05
13757,1.79
13758,415.0
13759,1.0
13760,166.03
13761,9.03
13762,250.0
13763,64.99
13764,21.95
13765,3.13
13766,1.29
13767,53.03
13768,107.86
13769,26.0
13770,9.99
13771,9.0
13772,1.0
13773,40.02
13774,9.12
13775,0.89
13776,2.26
13777,500.0
13778,0.89
13779,505.76
13780,279.0
13781,1.29
13782,69.0
13783,7.95
13784,85.0
13785,15.99
13786,17.99
13787,3.93
13788,8.31
13789,439.41
13790,132.56
13791,77.15
13792,1.5
13793,22.0
13794,1.98
13795,89.99
13796,17.95
13797,24.99
13798,11.1
13799,298.5
13800,15.0
13801,130.81
13802,84.59
13803,1.98
13804,145.29
13805,147.5
13806,60.62
13807,3.59
13808,10.56
13809,1.29
13810,52.4
13811,153.5
13812,7.7
13813,99.0
13814,49.99
13815,5.35
13816,350.45
13817,15.0
13818,7.87
13819,32.99
13820,48.89
13821,20.94
13822,1.0
13823,24.94
13824,47.0
13825,9.99
13826,24.0
13827,30.44
13828,9.0
13829,29.56
13830,1.0
13831,11.5
13832,28.88
13833,69.87
13834,5.25
13835,0.0
13836,21.22
13837,56.0
13838,4.86
13839,0.76
13840,40.8
13841,4002.0
13842,12.99
13843,75.79
13844,48.47
13845,79.95
13846,1.0
13847,79.0
13848,59.9
13849,58.48
13850,108.0
13851,16.7
13852,165.41
13853,51.8
13854,87.0
13855,11.5
13856,5.48
13857,6.01
13858,0.99
13859,128.5
13860,10.73
13861,10.0
13862,1.98
13863,46.41
13864,1.98
13865,148.0
13866,24.89
13867,112.78
13868,95.8
13869,1.0
13870,57.67
13871,54.0
13872,100.0
13873,198.0
13874,1542.72
13875,210.0
13876,1.0
13877,11.99
13878,1.29
13879,0.89
13880,628.02
13881,59.65
13882,10.62
13883,14.98
13884,36.0
13885,355.94
13886,60.0
13887,19.36
13888,45.45
13889,0.76
13890,134.95
13891,2.99
13892,18.2
13893,129.95
13894,975.0
13895,349.7
13896,0.99
13897,9.42
13898,90.08
13899,315.0
13900,111.91
13901,14.5
13902,64.43
13903,24.58
13904,0.89
13905,24.19
13906,83.05
13907,1.0
13908,1361.64
13909,17.85
13910,1.98
13911,10.5
13912,87.09
13913,218.16
13914,15.0
13915,29.13
13916,57.9
13917,52.95
13918,251.32
13919,15.95
13920,45.21
13921,314.9
13922,73.42
13923,19.0
13924,59.35
13925,24.99
13926,146.0
13927,102.22
13928,26.0
13929,6.47
13930,37.85
13931,136.2
13932,720.0
13933,9.13
13934,7.61
13935,1073.71
13936,4.31
13937,88.61
13938,98.92
13939,19.0
13940,7.9
13941,37.44
13942,144.16
13943,11.27
13944,15.0
13945,518.47
13946,28.97
13947,53.85
13948,7.74
13949,30.26
13950,8.93
13951,2.0
13952,68.05
13953,0.89
13954,106.22
13955,7.7
13956,1.99
13957,19.95
13958,40.0
13959,23.29
13960,44.05
13961,39.95
13962,12.27
13963,2.64
13964,2.25
13965,757.24
13966,6.09
13967,21.96
13968,6.55
13969,52.49
13970,865.15
13971,1.98
13972,239.95
13973,13.99
13974,7.68
13975,13.0
13976,51.6
13977,277.78
13978,76.16
13979,5446.07
13980,0.1
13981,83.15
13982,32.4
13983,46.63
13984,4.49
13985,2.0
13986,1.98
13987,34.5
13988,9.81
13989,34.65
13990,11.99
13991,0.77
13992,10.0
13993,163.85
13994,10.0
13995,3.59
13996,29.99
13997,3.85
13998,47.85
13999,316.1
14000,291.36
14001,9.99
14002,89.99
14003,44.99
14004,664.6
14005,1.5
14006,156.78
14007,59.9
14008,6.15
14009,1.98
14010,4.31
14011,15.95
14012,81.9
14013,0.76
14014,57.6
14015,0.99
14016,19.99
14017,292.0
14018,14.15
14019,6.24
14020,15.73
14021,469.91
14022,1264.35
14023,82.5
14024,1262.24
14025,35.0
14026,190.5
14027,185.83
14028,21.45
14029,14.4
14030,64.98
14031,3.33
14032,26.15
14033,34.48
14034,50.0
14035,40.0
14036,175.0
14037,1.29
14038,49.0
14039,137.95
14040,1.29
14041,296.0
14042,664.29
14043,1.98
14044,2.24
14045,15.0
14046,6.71
14047,122.16
14048,1.0
14049,76.0
14050,1.0
14051,9.95
14052,1.98
14053,1.0
14054,0.76
14055,63.93
14056,0.99
14057,0.77
14058,11.99
14059,4.57
14060,159.0
14061,221.79
14062,14.0
14063,1.98
14064,80.0
14065,1.78
14066,14.95
14067,9.95
14068,1.0
14069,82.8
14070,15.0
14071,1.0
14072,30.8
14073,15.55
14074,150.0
14075,123.57
14076,8.99
14077,1.0
14078,16.91
14079,14.4
14080,17.24
14081,583.41
14082,45.9
14083,82.6
14084,63.22
14085,114.0
14086,36.0
14087,5.38
14088,25.62
14089,13.71
14090,64.0
14091,9.99
14092,74.0
14093,2.0
14094,52.4
14095,0.77
14096,1.79
14097,689.84
14098,214.99
14099,9.19
14100,68.1
14101,1.98
14102,126.0
14103,60.0
14104,5.49
14105,30.7
14106,45.0
14107,24.57
14108,69.9
14109,16.9
14110,29.94
14111,240.0
14112,29.95
14113,1.98
14114,1.0
14115,10.0
14116,120.78
14117,18.09
14118,20.09
14119,35.0
14120,104.45
14121,5.38
14122,66.81
14123,30.99
14124,108.9
14125,56.56
14126,1.98
14127,151.06
14128,51.96
14129,201.72
14130,2.54
14131,11.85
14132,19.99
14133,1.98
14134,689.36
14135,7.87
14136,1.0
14137,2.0
14138,221.72
14139,5.0
14140,36.0
14141,107.93
14142,5.99
14143,778.01
14144,39.5
14145,1.0
14146,29.0
14147,54.99
14148,7.63
14149,27.85
14150,67.0
14151,196.72
14152,32.27
14153,11.28
14154,93.82
14155,0.99
14156,128.0
14157,509.84
14158,10.3
14159,1.79
14160,93.06
14161,100.21
14162,34.98
14163,233.0
14164,129.41
14165,14.9
14166,1.0
14167,449.0
14168,5.99
14169,0.89
14170,12.11
14171,7.56
14172,19.95
14173,8.99
14174,320.99
14175,28.25
14176,8.99
14177,0.77
14178,11.37
14179,6.21
14180,84.4
14181,44.0
14182,234.64
14183,12.05
14184,30.67
14185,10.75
14186,26.55
14187,165.0
14188,127.01
14189,16.18
14190,3.99
14191,1.12
14192,72.35
14193,6.05
14194,29.0
14195,4.49
14196,38.0
14197,1.55
14198,99.9
14199,20.0
14200,0.76
14201,10.0
14202,0.0
14203,1.98
14204,7.0
14205,570.0
14206,50.0
14207,50.0
14208,18.98
14209,111.6
14210,25.0
14211,2.92
14212,4.98
14213,0.89
14214,1.98
14215,162.56
14216,15.0
14217,39.95
14218,6.05
14219,297.69
14220,42.81
14221,8.99
14222,1.0
14223,9.99
14224,180.0
14225,64.5
14226,162.0
14227,77.05
14228,1.0
14229,30.26
14230,15.0
14231,11.5
14232,119.0
14233,24.95
14234,6.7
14235,2.69
14236,1.0
14237,13.99
14238,114.99
14239,20.11
14240,76.0
14241,1002.0
14242,1.52
14243,6.99
14244,12.96
14245,8.99
14246,336.0
14247,1.19
14248,98.0
14249,44.75
14250,100.0
14251,12.0
14252,394.39
14253,65.0
14254,80.08
14255,92.19
14256,11.34
14257,5.0
14258,115.27
14259,23.59
14260,2.99
14261,28.98
14262,3.69
14263,20.0
14264,0.89
14265,1.0
14266,28.74
14267,98.25
14268,7.56
14269,1.0
14270,25.0
14271,15.0
14272,22.4
14273,619.08
14274,44.22
14275,79.0
14276,17.99
14277,21.99
14278,160.0
14279,9.99
14280,23.39
14281,5.99
14282,118.0
14283,1.79
14284,9.68
14285,0.89
14286,315.56
14287,3.99
14288,0.76
14289,47.85
14290,1.0
14291,76.36
14292,145.93
14293,4.0
14294,6.95
14295,29.99
14296,0.89
14297,70.0
14298,23.0
14299,102.41
14300,22.0
14301,1.79
14302,209.0
14303,105.7
14304,28.98
14305,80.0
14306,80.0
14307,9.48
14308,34.99
14309,76.74
14310,1.0
14311,0.89
14312,4.0
14313,11.27
14314,10.8
14315,3.58
14316,107.0
14317,3.7
14318,15.0
14319,39.0
14320,56.09
14321,157.25
14322,304.06
14323,131.4
14324,1.98
14325,1.98
14326,29.99
14327,99.92
14328,1.98
14329,50.0
14330,77.0
14331,4.6
14332,64.99
14333,1.0
14334,165.0
14335,139.71
14336,40.0
14337,3.7
14338,88.19
14339,45.0
14340,8.93
14341,0.89
14342,1.0
14343,74.98
14344,20.0
14345,23.95
14346,129.0
14347,144.0
14348,1.29
14349,5.49
14350,548.0
14351,1.98
14352,89.99
14353,173.09
14354,12.58
14355,12.58
14356,0.76
14357,26.66
14358,1.79
14359,0.89
14360,9.99
14361,110.0
14362,8.99
14363,88.82
14364,191.69
14365,1.29
14366,60.0
14367,9.99
14368,30.16
14369,5.45
14370,1.18
14371,12.0
14372,1.98
14373,1.63
14374,0.12
14375,9.99
14376,788.99
14377,37.0
14378,836.0
14379,40.0
14380,11.7
14381,79.0
14382,1.0
14383,32.05
14384,38.5
14385,0.89
14386,1.98
14387,0.89
14388,1.0
14389,38.95
14390,30.59
14391,5.99
14392,140.99
14393,64.24
14394,64.0
14395,1.0
14396,25.28
14397,19.99
14398,67.03
14399,137.2
14400,28.75
14401,147.42
14402,276.0
14403,30.95
14404,0.0
14405,17.18
14406,5.0
14407,60.0
14408,45.85
14409,62.7
14410,17.33
14411,69.99
14412,842.28
14413,239.0
14414,22.99
14415,56.0
14416,102.0
14417,1.29
14418,6.24
14419,137.4
14420,23.97
14421,44.79
14422,17.35
14423,20.7
14424,96.82
14425,64.86
14426,742.23
14427,263.99
14428,0.75
14429,9.99
14430,1.29
14431,383.35
14432,13.0
14433,9.5
14434,276.8
14435,0.89
14436,44.0
14437,552.42
14438,5.07
14439,29.99
14440,15.0
14441,20.0
14442,3.57
14443,52.13
14444,39.99
14445,21.49
14446,96.66
14447,35.9
14448,295.0
14449,0.92
14450,14.99
14451,214.0
14452,3.69
14453,44.99
14454,1.41
14455,84.0
14456,31.94
14457,100.0
14458,4.98
14459,45.0
14460,0.89
14461,13.69
14462,10.23
14463,5.01
14464,142.1
14465,2.58
14466,134.99
14467,0.89
14468,47.0
14469,168.24
14470,40.0
14471,0.01
14472,396.28
14473,59.85
14474,54.9
14475,1.89
14476,10.74
14477,44.52
14478,8.99
14479,20.0
14480,1.0
14481,90.0
14482,28.79
14483,8.42
14484,707.94
14485,0.75
14486,222.26
14487,59.9
14488,4.49
14489,12.36
14490,12.16
14491,52.95
14492,33.95
14493,8.93
14494,17.99
14495,0.99
14496,162.16
14497,512.99
14498,8.99
14499,1.95
14500,1.0
14501,11.0
14502,198.6
14503,74.91
14504,14.97
14505,391.0
14506,56.15
14507,143.48
14508,30.22
14509,89.79
14510,1.0
14511,30.0
14512,46.1
14513,0.99
14514,14.95
14515,8.93
14516,0.89
14517,6.16
14518,29.03
14519,53.25
14520,144.0
14521,9.88
14522,316.66
14523,11.57
14524,0.99
14525,113.74
14526,12.31
14527,1.98
14528,65.0
14529,8.61
14530,49.84
14531,34.55
14532,25.0
14533,11.27
14534,112.0
14535,0.76
14536,253.08
14537,15.95
14538,10.0
14539,20.0
14540,109.99
14541,60.2
14542,0.95
14543,7.09
14544,57.0
14545,40.99
14546,25.0
14547,156.4
14548,14.45
14549,1.0
14550,9.03
14551,12.05
14552,0.89
14553,89.86
14554,5.27
14555,39.9
14556,102.0
14557,28.6
14558,1.4
14559,12.0
14560,150.61
14561,23.95
14562,15.0
14563,125.9
14564,138.88
14565,124.8
14566,25.0
14567,20.92
14568,22.07
14569,235.0
14570,120.0
14571,17.51
14572,8.97
14573,182.27
14574,35.95
14575,44.9
14576,153.71
14577,34.99
14578,32.38
14579,44.99
14580,90.0
14581,113.5
14582,121.36
14583,9.99
14584,55.0
14585,22.69
14586,15.95
14587,9.99
14588,71.8
14589,1.0
14590,0.76
14591,95.9
14592,14.9
14593,1.29
14594,14.99
14595,4.16
14596,23.14
14597,8.14
14598,7.99
14599,15.21
14600,90.99
14601,12.94
14602,261.71
14603,2.4
14604,1.0
14605,34.62
14606,1.29
14607,1.98
14608,1.98
14609,28.98
14610,39.53
14611,112.89
14612,206.12
14613,6.15
14614,1.0
14615,1.98
14616,82.92
14617,319.26
14618,1.98
14619,4.93
14620,1.0
14621,115.3
14622,8.97
14623,29.56
14624,9.99
14625,8.65
14626,168.0
14627,3.65
14628,29.99
14629,19.99
14630,9.99
14631,72.0
14632,3.99
14633,2.28
14634,44.99
14635,32.9
14636,123.9
14637,1.98
14638,23.94
14639,143.95
14640,144.0
14641,86.0
14642,200.0
14643,79.2
14644,136.16
14645,0.89
14646,7.56
14647,41.0
14648,73.31
14649,39.89
14650,34.99
14651,463.0
14652,22.82
14653,38.21
14654,10.0
14655,37.41
14656,139.2
14657,19.99
14658,69.99
14659,29.99
14660,1.98
14661,14.38
14662,59.15
14663,5.99
14664,50.39
14665,29.9
14666,16.95
14667,4.5
14668,75.0
14669,119.8
14670,18.16
14671,117.7
14672,186.52
14673,1.0
14674,754.96
14675,97.55
14676,2.0
14677,238.0
14678,115.0
14679,15.15
14680,3.87
14681,1.0
14682,28.94
14683,8.99
14684,5.49
14685,56.0
14686,1182.91
14687,18.93
14688,11.85
14689,39.0
14690,54.75
14691,88.8
14692,95.0
14693,23.95
14694,114.49
14695,26.94
14696,7.49
14697,17.95
14698,505.0
14699,45.23
14700,70.0
14701,0.99
14702,81.71
14703,1.0
14704,1.0
14705,1250.0
14706,23.51
14707,0.76
14708,3378.0
14709,6.78
14710,16.0
14711,500.0
14712,500.0
14713,3.59
14714,7.95
14715,2.49
14716,57.85
14717,1.0
14718,2.72
14719,43.57
14720,421.59
14721,147.05
14722,150.0
14723,1.0
14724,141.04
14725,2.99
14726,0.89
14727,140.72
14728,57.71
14729,0.76
14730,4.48
14731,2.99
14732,7.6
14733,10.75
14734,15.0
14735,0.64
14736,29.95
14737,64.0
14738,39.99
14739,60.0
14740,24.99
14741,2545.87
14742,9.94
14743,126.44
14744,45.0
14745,0.89
14746,643.04
14747,0.89
14748,0.99
14749,12.39
14750,14.99
14751,71.94
14752,190.0
14753,569.0
14754,1.98
14755,89.98
14756,1.29
14757,124.09
14758,41.63
14759,4.49
14760,563.8
14761,10.77
14762,45.94
14763,90.0
14764,83.87
14765,1.79
14766,1.98
14767,95.96
14768,137.16
14769,56.25
14770,2.0
14771,1.0
14772,11.36
14773,1.98
14774,13.35
14775,1.98
14776,3.42
14777,34.95
14778,98.0
14779,11.5
14780,44.98
14781,5.49
14782,208.6
14783,29.95
14784,1.0
14785,7.95
14786,17.99
14787,179.0
14788,0.0
14789,14.35
14790,89.7
14791,105.96
14792,25.99
14793,88.68
14794,1.0
14795,15.0
14796,131.84
14797,1.0
14798,21.0
14799,40.0
14800,26.07
14801,10.69
14802,100.78
14803,45.53
14804,50.0
14805,32.0
14806,4.54
14807,1.29
14808,22.4
14809,2.0
14810,378.99
14811,10.76
14812,118.93
14813,85.25
14814,47.79
14815,26.18
14816,15.99
14817,134.2
14818,43.0
14819,13.18
14820,10.0
14821,8.19
14822,1.0
14823,7.59
14824,1.0
14825,148.14
14826,141.5
14827,0.89
14828,42.0
14829,1.29
14830,181.24
14831,98.01
14832,6.2
14833,50.3
14834,82.45
14835,12.0
14836,1.0
14837,1.98
14838,127.5
14839,47.55
14840,9.99
14841,0.89
14842,26.48
14843,49.95
14844,311.1
14845,95.75
14846,1.49
14847,66.52
14848,83.4
14849,2.69
14850,599.0
14851,15.0
14852,25.75
14853,1.47
14854,139.63
14855,23.57
14856,57.32
14857,29.97
14858,55.0
14859,1.0
14860,90.75
14861,77.0
14862,1.39
14863,28.42
14864,240.0
14865,53.9
14866,9.81
14867,25.0
14868,150.0
14869,38.72
14870,835.0
14871,13.99
14872,1.98
14873,16.5
14874,1.38
14875,60.38
14876,349.7
14877,74.95
14878,3.5
14879,207.84
14880,88.9
14881,250.0
14882,14.99
14883,8.25
14884,109.75
14885,193.38
14886,639.3
14887,5.0
14888,46.98
14889,1.29
14890,3.27
14891,350.0
14892,42.81
14893,41.11
14894,8.61
14895,49.99
14896,7.7
14897,1.69
14898,1.79
14899,1.79
14900,14.6
14901,228.06
14902,148.0
14903,925.8
14904,79.0
14905,0.0
14906,37.53
14907,5.99
14908,0.99
14909,11.85
14910,56.75
14911,11.95
14912,1.0
14913,14.2
14914,9.99
14915,12.95
14916,4.49
14917,481.71
14918,9.91
14919,76.33
14920,311.47
14921,7.0
14922,119.5
14923,16.99
14924,107.8
14925,4.99
14926,165.0
14927,36.0
14928,100.0
14929,5.37
14930,1.89
14931,11.0
14932,11.34
14933,101.0
14934,2.12
14935,1.0
14936,485.0
14937,5.0
14938,156.45
14939,5.99
14940,35.39
14941,11.5
14942,39.97
14943,152.65
14944,68.0
14945,90.88
14946,30.0
14947,45.94
14948,13.15
14949,9.8
14950,8.99
14951,102.0
14952,37.78
14953,19.84
14954,1.98
14955,14.99
14956,46.0
14957,65.0
14958,0.89
14959,7.72
14960,129.3
14961,15.0
14962,1.0
14963,77.92
14964,0.89
14965,343.16
14966,45.0
14967,105.0
14968,13.98
14969,2.0
14970,3.59
14971,0.76
14972,15.0
14973,16.0
14974,541.4
14975,1.0
14976,1.52
14977,10.0
14978,3208.62
14979,11.31
14980,29.96
14981,1.0
14982,151.34
14983,266.34
14984,86.0
14985,5.34
14986,144.0
14987,735.44
14988,96.43
14989,229.0
14990,21.5
14991,9.99
14992,36.0
14993,12.95
14994,4.76
14995,10.8
14996,3.1
14997,12.95
14998,14.95
14999,9.87
15000,11789.84
15001,29.0
15002,10.0
15003,83.77
15004,0.89
15005,147.88
15006,72.48
15007,3.85
15008,2.0
15009,4.45
15010,229.9
15011,9.99
15012,8.99
15013,6.6
15014,584.75
15015,21.24
15016,66.0
15017,11.5
15018,36.0
15019,10.65
15020,34.0
15021,35.0
15022,2957.29
15023,10.99
15024,30.34
15025,10.64
15026,5.94
15027,82.98
15028,1.0
15029,43.23
15030,0.77
15031,3.63
15032,28.06
15033,4.78
15034,38.03
15035,1126.0
15036,1.0
15037,10.87
15038,1.29
15039,91.76
15040,1.5
15041,70.0
15042,314.58
15043,6.9
15044,23.55
15045,258.0
15046,51.76
15047,3.79
15048,2.0
15049,195.0
15050,35.74
15051,10.0
15052,23.39
15053,22.5
15054,30.47
15055,41.29
15056,2.0
15057,0.0
15058,9.95
15059,30.76
15060,23.15
15061,49.95
15062,25.0
15063,69.0
15064,131.0
15065,8.99
15066,125.9
15067,4.5
15068,17.99
15069,134.8
15070,40.0
15071,3.98
15072,20.0
15073,2.12
15074,11.5
15075,1.17
15076,1.0
15077,9.99
15078,9.99
15079,0.9
15080,262.0
15081,16.0
15082,22.07
15083,2.89
15084,0.99
15085,284.33
15086,1.0
15087,2.96
15088,1.59
15089,80.0
15090,97.9
15091,17.99
15092,2.0
15093,7.99
15094,72.75
15095,224.0
15096,69.99
15097,0.76
15098,1.0
15099,3.56
15100,15.0
15101,2.95
15102,12.95
15103,15.27
15104,49.9
15105,10.59
15106,1.79
15107,30.48
15108,3.99
15109,142.06
15110,39.99
15111,13.36
15112,35.88
15113,0.99
15114,121.0
15115,292.05
15116,69.99
15117,10.48
15118,1.98
15119,19.88
15120,5.99
15121,24.99
15122,53.72
15123,9.7
15124,1.98
15125,13.74
15126,35.98
15127,0.76
15128,7.57
15129,240.0
15130,32.86
15131,1.98
15132,454.51
15133,83.0
15134,1.0
15135,291.95
15136,48.0
15137,0.45
15138,11.85
15139,10.98
15140,1124.25
15141,43.0
15142,64.9
15143,37.89
15144,0.0
15145,68.15
15146,19.99
15147,30.0
15148,3.0
15149,221.0
15150,23.74
15151,0.99
15152,11.5
15153,37.54
15154,31.2
15155,1.79
15156,0.92
15157,49.96
15158,35.0
15159,64.85
15160,1.8
15161,113.0
15162,1.0
15163,236.0
15164,3.58
15165,1.98
15166,1.5
15167,170.0
15168,45.0
15169,24.99
15170,59.74
15171,74.95
15172,169.95
15173,59.99
15174,15.0
15175,3.0
15176,60.5
15177,288.55
15178,93.43
15179,77.5
15180,107.0
15181,7.07
15182,29.98
15183,4.53
15184,8.55
15185,2.69
15186,48.45
15187,399.65
15188,3.64
15189,2.0
15190,16.98
15191,1.0
15192,156.55
15193,1.89
15194,24.64
15195,185.0
15196,29.99
15197,6.88
15198,73.0
15199,2.68
15200,43.0
15201,85.95
15202,1.79
15203,55.0
15204,207.29
15205,524.06
15206,84.55
15207,3.03
15208,27.83
15209,84.0
15210,0.89
15211,35.56
15212,2.5
15213,7.99
15214,118.88
15215,0.89
15216,1882.38
15217,18.33
15218,38.88
15219,20.0
15220,39.32
15221,1.5
15222,5.99
15223,25.78
15224,247.33
15225,1.53
15226,0.76
15227,470.0
15228,0.89
15229,106.13
15230,4.95
15231,13.98
15232,112.73
15233,67.7
15234,404.9
15235,89.1
15236,20.42
15237,9.99
15238,12.49
15239,98.65
15240,463.99
15241,93.89
15242,15.0
